"ID","Nombre completo","Fecha de nacimiento","Direccion","Localidad y Codigo postal","Telefono","Correo electronico","Fecha de alta","Grupo de clientes"
"C0001","Leandra Anna Malo Alba",1984-12-08,"7943 S. Fifth Street","Bergenfield; NJ 07621","(598) 451-5865","uraeus@mac.com",2012-01-19 14:32:31,"A"
"C0002","Severo Granados Iglesia",1986-08-12,"77 Lyme Street","Hermitage; TN 37076","(869) 771-1487","bhima@me.com",2005-03-22 15:42:12,"E"
"C0003","Lucho Andreu Amat",1990-04-16,"9448 Fairfield St.","Aberdeen; SD 57401","(246) 245-7306","psichel@sbcglobal.net",2007-09-15 03:01:11,"E"
"C0004","Matias Mauricio Castillo Barrera",1996-12-02,"8143 College St.","Trussville; AL 35173","(707) 933-2513","tbeck@optonline.net",2011-12-07 15:22:50,"E"
"C0005","Mauricio Guijarro Castello",1984-05-14,"9893 W. Vale Ave.","Billings; MT 59101","(612) 325-0216","eegsa@yahoo.ca",2008-06-28 06:58:06,"D"
"C0006","Isaura Leyre Aviles Pelayo",1987-04-18,"8094 Albany Drive","Poughkeepsie; NY 12601","(992) 564-5230","barlow@verizon.net",2008-04-26 20:18:11,"E"
"C0007","Soraya Morera-Lago",1990-11-27,"9001 Creek Street","Lawrence; MA 01841","(651) 544-1246","wkrebs@me.com",2019-10-08 16:04:43,"A"
"C0008","Victoriano Tapia-Cabanillas",1981-03-06,"57 Green Drive","Fair Lawn; NJ 07410","(851) 782-6044","dleconte@outlook.com",2009-08-16 08:37:17,"C"
"C0009","Nidia Saez Campoy",1980-04-28,"86 Surrey St.","Kennewick; WA 99337","(265) 609-6654","flakeg@verizon.net",2013-01-05 21:49:51,"B"
"C0010","Teofila Villanueva Molina",1987-01-04,"8728 Boston Street","Rego Park; NY 11374","(305) 491-4988","slaff@icloud.com",2007-12-29 03:29:10,"E"
"C0011","Trini de Alberdi",1990-12-04,"45 Heritage Ave.","Fall River; MA 02720","(561) 649-7485","uncle@hotmail.com",2013-08-27 18:19:05,"B"
"C0012","Dani Baena",1977-10-20,"9334 Hillside Street","Grand Blanc; MI 48439","(966) 735-9451","vsprintf@hotmail.com",2012-02-24 00:45:58,"C"
"C0013","Angelina de Arregui",2000-02-21,"611 Academy Street","Dalton; GA 30721","(711) 282-2848","chinthaka@yahoo.ca",2014-12-24 11:02:48,"D"
"C0014","Samuel de Carranza",1999-05-16,"7201 Mill Street","Marcus Hook; PA 19061","(337) 397-0627","ntegrity@optonline.net",2016-10-29 06:44:12,"C"
"C0015","Jacinta Montenegro Garces",1994-03-13,"59 Ridgewood Ave.","Reynoldsburg; OH 43068","(969) 383-4277","yangyan@yahoo.ca",2007-04-06 06:15:53,"D"
"C0016","Lisandro Delgado Nadal",1980-04-18,"270 West Green Lake St.","Louisville; KY 40207","(748) 495-1748","ilyaz@me.com",2019-11-10 01:09:21,"B"
"C0017","Samanta Manjon Godoy",1980-03-03,"9481 S. Chestnut St.","Morristown; NJ 07960","(494) 813-5651","njpayne@hotmail.com",2017-01-18 14:05:59,"C"
"C0018","Albano Teodosio Canete Rosa",1981-04-04,"7 N. Annadale Street","Eugene; OR 97402","(779) 217-3175","ralamosm@gmail.com",2010-05-12 03:57:39,"C"
"C0019","Abel Villanueva",1988-06-12,"88 Pheasant Rd.","Bridgeton; NJ 08302","(904) 204-2255","bartak@sbcglobal.net",2012-02-24 07:39:03,"A"
"C0020","Bienvenida Pulido Cozar",1994-01-21,"8 Galvin Street","Seymour; IN 47274","(932) 307-3409","improv@me.com",2016-05-16 09:09:06,"D"
"C0021","Patricio Manzano Pomares",1979-07-01,"9 Marconi Road","Eastpointe; MI 48021","(993) 960-7653","arnold@live.com",2018-02-16 13:16:06,"D"
"C0022","Modesto de Casares",1975-12-13,"8842 Old Van Dyke Ave.","Nanuet; NY 10954","(611) 927-0572","ismail@comcast.net",2019-02-26 09:13:45,"D"
"C0023","Berto del Morales",1987-10-30,"471 S. Cambridge Drive","Fairborn; OH 45324","(283) 384-7846","wilsonpm@aol.com",2005-02-19 02:21:21,"A"
"C0024","Nuria Daniela Jauregui Tejero",1979-07-02,"9 Military Dr.","Yuba City; CA 95993","(677) 875-1069","barjam@icloud.com",2014-04-02 18:30:12,"E"
"C0025","Anastasia Pedrero Solera",1986-08-29,"8388 Pheasant Street","Powder Springs; GA 30127","(886) 929-9282","michiel@msn.com",2012-09-07 03:07:25,"B"
"C0026","Purificacion Salome Ferran Valero",1984-09-29,"221 Dogwood Dr.","El Paso; TX 79930","(596) 660-5408","gamma@hotmail.com",2010-07-02 15:05:54,"A"
"C0027","Melania Cobos Lozano",1989-04-15,"911 Charles St.","East Lansing; MI 48823","(768) 242-5793","dhrakar@live.com",2019-05-08 12:01:44,"C"
"C0028","Evangelina Font Lago",1978-03-26,"176 Henry Smith Ave.","Westland; MI 48185","(483) 388-3044","themer@icloud.com",2013-11-20 20:03:36,"C"
"C0029","Otilia Mercader Jimenez",1986-06-21,"323 1st St.","Salt Lake City; UT 84119","(525) 814-4351","leocharre@me.com",2016-11-13 14:53:01,"C"
"C0030","Nadia Reyes-Bosch",1997-03-14,"8127 Pawnee Lane","Pikesville; MD 21208","(872) 458-4785","kewley@icloud.com",2013-05-28 12:57:09,"B"
"C0031","Mireia Cordoba Pi",1993-10-21,"7813 Helen Ave.","West Springfield; MA 01089","(600) 318-8808","murdocj@mac.com",2006-01-11 00:48:42,"A"
"C0032","Melisa Rueda Rosado",1970-09-28,"353 Canterbury Dr.","Mahwah; NJ 07430","(437) 406-2974","webinc@msn.com",2017-03-30 18:22:22,"B"
"C0033","Trini Sanabria-Frias",1989-05-22,"61 Addison Dr.","Park Forest; IL 60466","(615) 712-3381","mrsam@yahoo.ca",2017-01-19 19:23:03,"D"
"C0034","Lucia Manola Briones Jove",1993-11-28,"810 West Mill St.","Westfield; MA 01085","(651) 742-1141","sassen@aol.com",2015-02-07 19:05:19,"B"
"C0035","Natalio Pereira Barrio",1970-09-19,"51 Mayfair Court","Dothan; AL 36301","(517) 690-8580","emmanuel@att.net",2007-01-11 15:36:52,"D"
"C0036","Nerea Alcalde Sole",1984-02-03,"840 Oak Meadow Ave.","Klamath Falls; OR 97603","(616) 766-2111","naoya@mac.com",2006-08-17 09:46:10,"B"
"C0037","Gracia Goicoechea Alba",1980-12-10,"257 Pheasant Drive","Hialeah; FL 33010","(685) 726-6159","slanglois@hotmail.com",2021-03-23 13:49:08,"E"
"C0038","Tono Hidalgo Blazquez",1988-11-24,"30 N. Park Avenue","Howard Beach; NY 11414","(737) 772-3449","improv@comcast.net",2009-09-07 05:50:50,"B"
"C0039","Candida Sedano Jimenez",1981-04-16,"850 School St.","Wheaton; IL 60187","(876) 612-6879","noneme@me.com",2011-05-14 08:38:29,"E"
"C0040","Eutimio Barreda Cobos",1999-05-09,"59 Atlantic Ave.","Gallatin; TN 37066","(669) 791-3350","majordick@yahoo.com",2009-01-05 00:19:10,"C"
"C0041","Rosario Yuste Falcon",1986-06-24,"74 Broadway","MILTON KEYNES","(642) 368-4225","rgiersig@verizon.net",2010-12-22 07:16:47,"D"
"C0042","Encarnacion Espanol Ocana",1985-03-25,"MK9 3EN","21 Mill Road","(953) 901-9132","smartfart@aol.com",2020-11-06 06:49:18,"C"
"C0043","Magdalena Vilaplana Esteve",1991-09-26,"CREWE","CW90 4ZA","(869) 720-8135","jmgomez@verizon.net",2014-07-14 01:35:54,"D"
"C0044","Adelardo Novoa",1985-06-12,"674 High Street","CANTERBURY","(319) 633-9396","msherr@yahoo.com",2013-01-20 04:11:57,"C"
"C0045","Adoracion Rovira Zabala",1977-10-25,"CT76 6OB","10 Richmond Road","(731) 945-6687","keutzer@sbcglobal.net",2006-03-30 09:15:44,"D"
"C0046","Ovidio Lamas",2000-03-09,"DUNDEE","DD84 2WJ","(435) 742-6743","policies@sbcglobal.net",2017-09-09 19:16:58,"C"
"C0047","Reyes Julian Nogues",1978-04-07,"35 The Crescent","SOUTH EAST LONDON","(684) 330-1830","hwestiii@verizon.net",2006-08-04 08:44:02,"C"
"C0048","Adoracion Jurado Clemente",1976-12-08,"SE42 3UM","44 School Lane","(843) 248-6284","hstiles@mac.com",2007-10-04 17:41:11,"E"
"C0049","Placido Zabala Feijoo",1979-01-19,"DONCASTER","DN36 9AT","(390) 565-9213","xnormal@gmail.com",2011-11-27 20:10:56,"A"
"C0050","Abel Alex Cueto Lopez",1974-09-07,"94 The Avenue","BRIGHTON","(951) 953-8812","jgmyers@icloud.com",2009-06-18 06:22:20,"A"
"C0051","Miguela Sanmiguel Paz",1976-04-12,"BN0 6LJ","290 Albert Road","(516) 909-2316","oechslin@aol.com",2010-05-09 12:32:16,"E"
"C0052","Narcisa Villaverde Montes",1998-11-17,"STOCKPORT","SK35 8CV","(833) 629-5357","juerd@outlook.com",2020-06-28 10:41:36,"C"
"C0053","Leonardo Aller Bermudez",1971-09-16,"96 The Green","WATFORD","(260) 680-9015","skippy@icloud.com",2016-05-31 01:46:54,"A"
"C0054","Javiera Bartolome Torrens",1992-06-15,"WD65 4RB","9950 Queen Street","(724) 882-6713","meinkej@hotmail.com",2017-08-30 18:00:29,"B"
"C0055","Maria Carmen de Fuster",1973-08-28,"WAKEFIELD","WF81 5TB","(663) 750-6940","staffelb@aol.com",2020-10-22 18:37:06,"E"
"C0056","Adan Fonseca Marin",1970-09-16,"30 Main Road","NORTH WEST LONDON","(325) 631-2099","heckerman@optonline.net",2009-03-21 13:30:30,"E"
"C0057","Adalberto de Fabra",1989-12-23,"NW96 2RV","9896 New Road","(594) 787-2465","rjones@verizon.net",2014-01-12 04:41:12,"A"
