"ID","Proveedor","Contacto comercial","Email","Telefono","Saldo pendiente","Fecha de ultima compra"
"P0001","So Factive","Lorenzo Canton Galan","fluffy@verizon.net","(394) 406-8708",63.00,2018-09-04
"P0002","Kontroller","Adelina Valls Canet","fraterk@me.com","(923) 207-3871",4250.00,2012-06-08
"P0003","Finance Api","Eulalia del Galindo","animats@mac.com","(904) 363-2261",2412.00,2017-08-06
"P0004","Biomotivate","Tania Catalan Galvan","tbeck@icloud.com","(923) 671-4117",3348.00,2017-05-22
"P0005","Deltavita","Abraham Giron-Soler","mallanmba@yahoo.ca","(841) 798-8943",570.00,2022-01-17
"P0006","Metta Statu_cru_lumarn","Erasmo Gibert Quevedo","kosact@sbcglobal.net","(559) 515-6369",261.00,2014-09-02
"P0007","Town Of Abus Road","Ana Belen Mayo Correa","bastian@aol.com","(715) 328-4811",4733.00,2021-02-26
"P0008","Player","Valentina Enriquez Montalban","lukka@mac.com","(953) 242-4312",18254.00,2019-01-06
"P0009","Team Esports","Pastor Querol Verdugo","sjava@yahoo.com","(429) 355-6554",2128.00,2018-04-28
"P0010","Team Impact","Andres Saavedra Castello","shawnce@me.com","(399) 380-2112",310.00,2012-08-11
"P0011","Alliancestudios","Juliana Marquez Huguet","moinefou@hotmail.com","(242) 702-4300",3536.00,2020-11-02
"P0012","Modgugh","africa Fernandez Calatayud","bebing@att.net","(479) 987-5028",71.14,2018-10-14
"P0013","Team Software","Carlito Dominguez Cortes","afifi@yahoo.com","(669) 494-0889",5258.00,2017-05-08
"P0014","Bayesa","Heliodoro Banos Sainz","zavadsky@gmail.com","(495) 936-2371",8121.00,2015-03-13
"P0015","Pubsearch","Arturo Ferran Terron","neonatus@yahoo.ca","(901) 585-8039",211.00,2022-02-01
"P0016","Teknosystems","Serafina Marcela Solano Alfaro","nichoj@yahoo.com","(243) 646-8371",3391.00,2017-06-09
"P0017","Companyreo","Maria Pilar Jodar Gomez","kwilliams@icloud.com","(577) 722-8909",5752.00,2021-01-10
"P0018","Upstream","Veronica Carmina Riba Criado","presoff@aol.com","(965) 536-3236",4332.00,2014-04-01
"P0019","Zenitcom Solutions","Bernardita Royo Leon","samavati@yahoo.com","(970) 954-6303",7601.00,2012-08-05
"P0020","Vuevitas","Carlito Penas Prado","philen@verizon.net","(988) 713-8842",607.00,2021-10-17
"P0021","2gm Fuji","Inmaculada Aurora Cantero Peralta","sacraver@aol.com","(618) 384-8498",8231.00,2012-07-22
